# list of object assets to load in this scene
[ASSETS]
mario.txt
brick.txt
coin.txt
goomba.txt
cloud.txt
background.txt
colorBox.txt
#
[OBJECTS]
# type	x	y	extra_settings per object type
# type: 0 = Mario , 1 = Brick, 2 = Goomba, 3 = Koopas
# See OBJECT_TYPE constants in AssetIDs.h



#Background: x, y, width, height, spriteId
#Background-Bush
6	16	168	16	16	60003	
6	32	168	16	16	60005
6	48	168	16	16	60005
6	64	168	16	16	60005
6	80	168	16	16	60006
6	96	168	16	16	60007
6	112	168	16	16	60005
6	128	168	16	16	60004
6	16	152	16	16	60003
6	32	152	16	16	60006
6	48	152	16	16	60007
6	64	152	16	16	60005
6	80	152	16	16	60004
6	96	152	16	16	60003
6	112	152	16	16	60006
6	128	152	16	16	60002
6	16	136	16	16	60001
6	32	136	16	16	60007
6	48	136	16	16	60004
6	64	136	16	16	60001
6	80	136	16	16	60002
6	96	136	16	16	60001
6	112	136	16	16	60002
6	32	120	16	16	60001
6	48	120	16	16	60002

6	817	152	16	16	60001
6	833	152	16	16	60007
6	849	152	16	16	60005
6	865	152	16	16	60005
6	881	152	16	16	60005
6	897	152	16	16	60005
6	913	152	16	16	60005
6	929	152	16	16	60004
6	945	152	16	16	60001
6	961	152	16	16	60007
6	977	152	16	16	60005
6	993	152	16	16	60004
6	833	136	16	16	60003
6	849	136	16	16	60006
6	865	136	16	16	60007
6	881	136	16	16	60006
6	897	136	16	16	60007
6	913	136	16	16	60005
6	929	136	16	16	60004
6	961	136	16	16	60003
6	977	136	16	16	60006
6	993	136	16	16	60002
6	833	120	16	16	60001
6	849	120	16	16	60002
6	865	120	16	16	60001
6	881	120	16	16	60007
6	897	120	16	16	60004
6	913	120	16	16	60001
6	929	120	16	16	60002
6	961	120	16	16	60001
6	977	120	16	16	60002
6	881	104	16	16	60001
6	897	104	16	16	60002

6	1888	168	16	16	60001
6	1904	168	16	16	60007
6	1920	168	16	16	60005
6	1936	168	16	16	60004
6	1904	152	16	16	60003
6	1920	152	16	16	60006
6	1936	152	16	16	60002
6	1904	136	16	16	60001
6	1920	136	16	16	60002

6	2368	168	16	16	60003
6	2384	168	16	16	60005
6	2400	168	16	16	60005
6	2416	168	16	16	60005
6	2432	168	16	16	60005
6	2448	168	16	16	60004
6	2368	152	16	16	60003
6	2384	152	16	16	60005
6	2400	152	16	16	60005
6	2416	152	16	16	60005
6	2432	152	16	16	60006
6	2448	152	16	16	60002
6	2368	136	16	16	60003
6	2384	136	16	16	60005
6	2400	136	16	16	60005
6	2416	136	16	16	60005
6	2432	136	16	16	60004
6	2368	120	16	16	60001
6	2384	120	16	16	60007
6	2400	120	16	16	60005
6	2416	120	16	16	60005
6	2432	120	16	16	60004
6	2384	104	16	16	60001
6	2400	104	16	16	60007
6	2416	104	16	16	60005
6	2432	104	16	16	60004
6	2400	88	16	16	60003
6	2416	88	16	16	60005
6	2432	88	16	16	60004
6	2400	72	16	16	60003
6	2416	72	16	16	60006
6	2432	72	16	16	60002
6	2400	56	16	16	60001
6	2416	56	16	16	60002

#Background-Small bush
6	160	168	16	16	61001
6	176	168	16	16	61001
6	192	168	16	16	61001

6	672	152	16	16	61001
6	688	152	16	16	61001
6	704	152	16	16	61001
6	720	152	16	16	61001
6	736	152	16	16	61001
6	752	152	16	16	61001

6	1040	152	16	16	61001
6	1056	152	16	16	61001

6	1184	168	16	16	61001
6	1200	168	16	16	61001
6	1216	168	16	16	61001

6	1728	168	16	16	61001
6	1744	168	16	16	61001
6	1760	168	16	16	61001

#Color box: x, y, width, height, beginSpriteId, middleSpriteId endSpriteId, isVertical
#Blue
7	272	104	16	16	3	71001	71002	71003	0
7	272	120	16	16	3	71004	71005	71006	0
7	272	136	16	16	3	71004	71005	71006	0
7	272	152	16	16	3	71004	71005	71006	0
7	272	168	16	16	3	71007	71008	71009	0
7	316	108	8	8	9	74000	75000	75000	1
#Pink
7	240	136	16	16	3	70001	70002	70003	0
